Hut,Wall,Position,Breaker #,Miner IP,Miner MAC,Switch,Switch Port,Ethernet Cable Label,Miner Serial,Model,Pool User,Pool URL 1,Notes,Status,Last Checked (local),,TH_5s,TH_1m,TH_5m,TH_15m,TH_av,TempC,FanIn,FanOut,FreqAvg,Power,Uptime,Accepted,Rejected,PoolURL,PoolUser,PoolStatus,LastShareTime,PoolGetFailures,PoolStale,PoolRejected
GH180,A,A01,1,192.168.1.197,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,130.30,108.74,108.15,108.22,108.12,75.00,7680,7560,794,3454,181186,560,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179754,0,0,0
GH180,A,A02,2,192.168.1.176,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,65.06,38.47,8.06,7.35,7.35,59.56,0,0,851,658,181185,228,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179757,0,0,0
GH180,A,A03,3,,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Plugged in - not running,,,,,,,,,,,,,,,,,,,,,,,
GH180,A,A04,4,192.168.1.200,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,94.49,77.78,78.21,79.66,82.01,74.88,7620,7770,841,3239,181186,38921,24,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179752,0,0,24
GH180,A,A05,5,192.168.1.110,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,,,,,,,
GH180,A,A06,6,192.168.1.107,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,123.30,102.49,102.75,102.72,102.90,75.88,7800,7800,851,3539,181179,33421,28,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179741,1,10,28
GH180,A,A07,7,192.168.1.136,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,41.98,32.21,43.20,45.90,80.02,81.88,7500,0,829,2690,181182,30002,25,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179735,1,10,25
GH180,A,A08,8,192.168.1.166,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179754,0,0,9
GH180,A,A09,9,,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Unplugged,,,,,,,,,,,,,,,,,,,,,,,
GH180,A,A10,10,192.168.1.151,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,API btminer error / 0 GHS seen,Investigate,,,,,,,,,,,,,,,,,,,,,,
GH180,A,A11,11,192.168.1.212,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771000183,0,0,0
GH180,A,A12,12,192.168.1.248,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Very low (~42 TH/s): likely missing board/throttle,Investigate,,,0.00,0.00,0.00,0.00,0.00,36.19,7530,7590,0,139,181190,2,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,0,0,0,0
GH180,A,A13,13,192.168.1.102,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,65.35,60.25,59.67,37.63,37.63,76.38,7800,7800,730,3252,181179,302,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179750,0,0,0
GH180,A,A14,14,192.168.1.172,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179755,1,23,31
GH180,A,A15,15,192.168.1.173,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,31.95,28.65,38.32,27.16,27.16,63.44,7380,7650,737,2981,181184,313,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179728,0,0,0
GH180,A,A16,16,192.168.1.106,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179748,0,0,0
GH180,A,A17,17,192.168.1.233,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,115.74,97.26,97.08,97.29,97.29,72.00,7560,7470,805,3305,181188,31943,72,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179752,0,0,72
GH180,A,A18,18,192.168.1.226,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,,,,,,,
GH180,A,A19,19,192.168.1.224,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,0.00,0.00,0.00,0.00,0.00,34.69,6930,6990,0,111,181189,1,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,0,0,0,0
GH180,A,A20,20,192.168.1.204,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,0.00,0.00,49.74,77.87,77.87,57.81,1290,1230,757,1827,181186,187,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179621,0,0,0
GH180,A,A21,21,192.168.1.229,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Stalled: MHS av >0 but 5s=0 (restart),Investigate,,,0.00,0.00,0.00,0.00,0.00,37.94,7770,7680,0,66,181188,0,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,0,0,0,0
GH180,A,A22,22,192.168.1.237,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,API 4028 closed earlier (check API/offline),Investigate,,,116.79,98.64,98.30,103.10,106.27,80.50,4530,4560,619,3317,181190,34246,112,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179762,0,0,112
GH180,A,A23,23,192.168.1.247,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,0.00,0.00,0.00,0.00,0.00,35.75,810,1470,0,85,181190,2,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,0,0,0,0
GH180,A,A24,24,192.168.1.221,,SW-A,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,,,,,,,
GH180,B,B01,25,,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Unplugged,,,,,,,,,,,,,,,,,,,,,,,
GH180,B,B02,26,192.168.1.156,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Sticky ethernet,,,,45.83,38.61,38.70,38.63,35.08,76.50,7770,7770,816,3023,181183,657,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179752,0,0,0
GH180,B,B03,27,192.168.1.103,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771009846,0,0,1
GH180,B,B04,28,192.168.1.209,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,0.00,0.00,0.00,0.00,0.00,38.56,7710,7710,0,5,181187,0,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,0,0,0,0
GH180,B,B05,29,192.168.1.104,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1770999940,0,0,0
GH180,B,B06,30,,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Not running,,,,,,,,,,,,,,,,,,,,,,,
GH180,B,B07,31,192.168.1.203,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,API 4028 closed earlier (check API/offline),Investigate,,,104.49,86.31,86.42,86.41,86.35,74.75,7830,7590,916,3425,181186,35117,27,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179758,1,12,27
GH180,B,B08,32,192.168.1.105,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,112.45,93.73,93.64,93.51,93.29,71.81,6930,6990,938,3587,181170,31908,26,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179733,1,13,26
GH180,B,B09,33,192.168.1.170,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,API btminer error / 0 GHS seen,Investigate,,,,,,,,,,,,,,,,,,,,,,
GH180,B,B10,34,192.168.1.135,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,,,,,,,
GH180,B,B11,35,192.168.1.128,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,105.33,87.94,88.20,88.26,89.25,73.81,5250,5280,739,3256,181181,35662,223,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179750,0,0,223
GH180,B,B12,36,192.168.1.133,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Not hashing / freq_avg=0 (restart),Investigate,,,41.62,39.60,39.38,39.29,40.51,76.38,7380,7380,376,2020,181180,14067,11,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179749,0,0,11
GH180,B,B13,37,192.168.1.101,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,110.80,91.75,92.04,91.99,91.93,59.25,7680,7710,769,3404,181178,28463,61,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179749,1,16,61
GH180,B,B14,38,192.168.1.198,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,,,,,,,,,,,,,,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179755,1,21,24
GH180,B,B15,39,192.168.1.109,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,112.47,112.97,112.82,112.78,112.66,74.38,6041,6011,829,3631,181178,36224,60,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179749,0,0,60
GH180,B,B16,40,192.168.1.181,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,126.90,106.86,106.70,106.73,106.72,79.81,5550,5550,671,3593,181184,34184,61,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179753,0,0,61
GH180,B,B17,41,192.168.1.182,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,115.04,94.90,94.92,94.79,94.82,74.06,4980,5010,766,3320,181186,454,1,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179754,0,0,1
GH180,B,B18,42,192.168.1.217,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,110.64,110.96,111.11,111.11,111.15,76.06,7558,7587,818,3591,181186,35651,78,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179757,0,0,78
GH180,B,B19,43,192.168.1.232,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,121.34,100.59,100.83,100.87,100.84,74.06,7470,7470,815,3547,181190,33198,73,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179752,0,0,73
GH180,B,B20,44,192.168.1.108,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,103.84,86.31,86.32,86.32,86.32,62.31,7710,7740,912,3367,181179,33,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179750,0,0,0
GH180,B,B21,45,192.168.1.207,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,127.18,105.30,105.35,105.50,105.50,61.38,6090,6150,817,3348,181187,196,0,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179756,0,0,0
GH180,B,B22,46,192.168.1.161,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,,,,,131.12,109.38,109.48,109.52,109.50,71.88,5430,5430,805,3487,181183,35185,31,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179747,1,16,31
GH180,B,B23,47,192.168.1.239,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Breaker bad (miner not running),Breaker bad,,,118.16,99.04,99.27,99.27,99.43,77.00,7020,7050,808,3606,181190,32723,26,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179747,0,0,26
GH180,B,B24,48,192.168.1.225,,SW-B,,,,WhatsMiner M30S,CraigMining.GH180,stratum+tcp://stratum.braiins.com:3333,Breaker bad (miner not running),Breaker bad,,,122.54,103.34,103.65,103.57,103.56,76.38,7770,7740,760,3325,181188,33431,38,stratum+tcp://stratum.braiins.com:3333,CraigMining.GH180,Alive,1771179756,1,18,38
