Hut,Wall,Position,Breaker #,Miner IP,Miner MAC,Switch,Switch Port,Ethernet Cable Label,Miner Serial,Model,Pool User,Pool URL 1,Notes,Status,Last Checked (local),Unnamed: 16,TH_5s,TH_1m,TH_5m,TH_15m,TH_av,TempC,FanIn,FanOut,FreqAvg,Power,Uptime,Accepted,Rejected,PoolURL,PoolUser,PoolStatus,LastShareTime,PoolGetFailures,PoolStale,PoolRejected
Welker180kw,A,A01,1,192.168.1.68,ca:3:15:0:2b:40,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A02,2,192.168.1.135,c8:11:5:0:57:58,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A03,3,192.168.1.194,ca:3:15:0:25:de,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A04,4,192.168.1.218,ca:4:f:0:8:16,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A05,5,192.168.1.202,ca:3:15:0:42:9d,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A06,6,192.168.1.46,ca:3:15:0:39:d7,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A07,7,192.168.1.107,ca:3:15:0:3e:38,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A08,8,192.168.1.234,ca:4:8:0:66:33,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A09,9,192.168.1.33,ca:3:15:0:3a:11,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A10,10,,,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A11,11,192.168.1.81,ca:3:15:0:8a:d5,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A12,12,192.168.1.210,ca:3:15:0:8e:ba,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A13,13,192.168.1.163,ca:3:15:0:41:95,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A14,14,192.168.1.42,ca:3:15:0:2b:80,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A15,15,192.168.1.172,ca:3:15:0:3a:9,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A16,16,192.168.1.240,ca:3:15:0:88:c7,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A17,17,192.168.1.106,ca:3:15:0:95:8b,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A18,18,192.168.1.62,ca:3:15:0:b4:42,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A19,19,192.168.1.82,c8:11:5:0:52:f4,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A20,20,192.168.1.173,ca:3:15:0:3f:d1,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A21,21,192.168.1.52,c8:9:24:0:9b:a8,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A22,22,192.168.1.206,ca:3:15:0:26:59,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A23,23,192.168.1.80,ca:3:15:0:8c:af,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,A,A24,24,192.168.1.41,ca:3:15:0:60:f2,SW-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B01,25,192.168.1.59,ca:3:15:0:43:75,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B02,26,192.168.1.197,ca:4:8:0:66:c2,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B03,27,192.168.1.92,ca:3:15:0:87:64,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B04,28,192.168.1.109,ca:3:15:0:28:2b,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B05,29,192.168.1.31,c8:11:16:0:6d:91,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B06,30,192.168.1.91,ca:3:15:0:6f:68,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B07,31,192.168.1.205,ca:3:15:0:51:2,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B08,32,192.168.1.198,ca:3:15:0:6c:32,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B09,33,192.168.1.102,ca:3:15:0:8f:6,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B10,34,192.168.1.47,ca:2:16:0:23:a1,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B11,35,192.168.1.237,ca:3:15:0:8c:97,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B12,36,192.168.1.165,c8:11:16:0:1e:13,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B13,37,192.168.1.83,ca:4:8:0:66:c6,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B14,38,192.168.1.159,ca:3:15:0:2a:ac,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B15,39,192.168.1.87,ca:3:15:0:10:b4,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B16,40,192.168.1.120,ca:3:15:0:8a:6a,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B17,41,192.168.1.112,ca:3:15:0:2c:a1,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B18,42,192.168.1.108,ca:1:14:0:d:9f,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Welker180kw,B,B19,43,192.168.1.38,c6:10:19:0:5c:89,SW-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
